transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
hadamard,0.1,12,10,6,6,"(2,)","(1, 3)",6.0254
hadamard,0.1,12,10,6,4,"(2,)","(1, 3)",6.0945
hadamard,0.1,12,10,6,3,"(2,)","(1, 3)",6.1521
hadamard,0.1,12,10,4,8,"(2,)","(1, 3)",6.0302
hadamard,0.1,12,10,4,6,"(2,)","(1, 3)",6.0795
hadamard,0.1,12,10,4,4,"(2,)","(1, 3)",6.1499
hadamard,0.1,12,10,4,3,"(2,)","(1, 3)",6.2086
hadamard,0.1,12,10,3,8,"(2,)","(1, 3)",6.1089
hadamard,0.1,12,10,3,6,"(2,)","(1, 3)",6.1595
hadamard,0.1,12,10,3,4,"(2,)","(1, 3)",6.2318
hadamard,0.1,12,10,3,3,"(2,)","(1, 3)",6.292
hadamard,0.1,12,8,8,8,"(2,)","(1, 3)",6.295
hadamard,0.1,12,8,8,6,"(2,)","(1, 3)",6.3495
hadamard,0.1,12,8,8,4,"(2,)","(1, 3)",6.4261
hadamard,0.1,12,8,8,3,"(2,)","(1, 3)",6.4897
hadamard,0.1,12,8,6,8,"(2,)","(1, 3)",6.3452
hadamard,0.1,12,8,6,6,"(2,)","(1, 3)",6.4007
hadamard,0.1,12,8,6,4,"(2,)","(1, 3)",6.4785
hadamard,0.1,12,8,6,3,"(2,)","(1, 3)",6.5432
hadamard,0.1,12,8,4,8,"(2,)","(1, 3)",6.4053
hadamard,0.1,12,8,4,6,"(2,)","(1, 3)",6.4618
hadamard,0.1,12,8,4,4,"(2,)","(1, 3)",6.5411
hadamard,0.1,12,8,4,3,"(2,)","(1, 3)",6.6071
hadamard,0.1,12,8,3,8,"(2,)","(1, 3)",6.4942
hadamard,0.1,12,8,3,6,"(2,)","(1, 3)",6.5523
hadamard,0.1,12,8,3,4,"(2,)","(1, 3)",6.6338
hadamard,0.1,12,8,3,3,"(2,)","(1, 3)",6.7017
hadamard,0.1,12,6,8,6,"(2,)","(1, 3)",6.8904
hadamard,0.1,12,6,8,4,"(2,)","(1, 3)",6.9816
hadamard,0.1,12,6,8,3,"(2,)","(1, 3)",7.0562
hadamard,0.1,12,6,6,6,"(2,)","(1, 3)",6.9506
hadamard,0.1,12,6,6,4,"(2,)","(1, 3)",7.0435
hadamard,0.1,12,6,6,3,"(2,)","(1, 3)",7.1194
hadamard,0.1,12,6,4,6,"(2,)","(1, 3)",7.0228
hadamard,0.1,12,6,4,4,"(2,)","(1, 3)",7.1176
hadamard,0.1,12,6,4,3,"(2,)","(1, 3)",7.1951
hadamard,0.1,12,6,3,6,"(2,)","(1, 3)",7.1298
hadamard,0.1,12,6,3,4,"(2,)","(1, 3)",7.2275
hadamard,0.1,12,6,3,3,"(2,)","(1, 3)",7.3075
hadamard,0.1,12,5,8,4,"(2,)","(1, 3)",7.4065
hadamard,0.1,12,5,8,3,"(2,)","(1, 3)",7.4905
hadamard,0.1,12,5,6,4,"(2,)","(1, 3)",7.4762
hadamard,0.1,12,5,6,3,"(2,)","(1, 3)",7.5618
hadamard,0.1,12,5,4,4,"(2,)","(1, 3)",7.5597
hadamard,0.1,12,5,4,3,"(2,)","(1, 3)",7.6473
hadamard,0.1,12,5,3,4,"(2,)","(1, 3)",7.6838
hadamard,0.1,12,5,3,3,"(2,)","(1, 3)",7.7743
hadamard,0.1,10,16,8,8,"(2,)","(1, 3)",5.5255
hadamard,0.1,10,16,8,6,"(2,)","(1, 3)",5.5672
hadamard,0.1,10,16,8,4,"(2,)","(1, 3)",5.627
hadamard,0.1,10,16,8,3,"(2,)","(1, 3)",5.6764
hadamard,0.1,10,16,6,8,"(2,)","(1, 3)",5.5641
hadamard,0.1,10,16,6,6,"(2,)","(1, 3)",5.6063
hadamard,0.1,10,16,6,4,"(2,)","(1, 3)",5.667
